日本	rì běn	1	173	r-l,en-eng
美国	měi guó	1	213	g-k
各种	gè zhǒng	1	295	g-k,z-zh,eng-ong,on-ong,un-ong
全国	quán guó	1	333	uan-uang,g-k
受到	shòu dào	1	454	s-sh
来到	lái dào	1	458	n-l,r-l,an-ai
有人	yǒu rén	1	471	r-l,en-eng
以上	yǐ shàng	1	477	s-sh,an-ang
不可	bù kě	1	520	g-k
香港	xiāng gǎng	1	531	ian-iang,g-k,an-ang
不是	bù shi	1	564	s-sh
一下	yī xià	1	575	
变成	biàn chéng	1	581	ian-iang,c-ch,en-eng,eng-ong
之一	zhī yī	1	609	z-zh
也是	yě shì	1	610	s-sh
心里	xīn lǐ	1	636	in-ing,n-l,r-l
之中	zhī zhōng	1	682	z-zh,eng-ong,on-ong,un-ong
英国	yīng guó	1	723	in-ing,g-k
指出	zhǐ chū	1	753	z-zh,c-ch
家里	jiā lǐ	1	757	n-l,r-l
国内	guó nèi	1	789	g-k,n-l
等等	děng děng	1	800	en-eng,eng-ong
还有	hái yǒu	1	810	h-f,an-ai
台湾	tái wān	1	851	an-ai,an-ang
留下	liú xià	1	852	n-l,r-l
女子	nǚ zǐ	1	856	n-l,z-zh
抓住	zhuā zhù	1	888	z-zh
法国	fǎ guó	1	893	h-f,g-k
分钟	fēn zhōng	1	904	h-f,en-eng,z-zh,eng-ong,on-ong,un-ong
不知	bù zhī	1	905	z-zh
各地	gè dì	1	1014	g-k
德国	dé guó	1	1039	g-k
就要	jiù yào	1	1059	
部长	bù zhǎng	1	1061	z-zh,an-ang
欧洲	ōu zhōu	1	1078	z-zh
在于	zài yú	1	1094	z-zh,an-ai
业务	yè wù	1	1101	
有所	yǒu suǒ	1	1185	s-sh
各国	gè guó	1	1203	g-k
加上	jiā shàng	1	1230	s-sh,an-ang
直到	zhí dào	1	1235	z-zh
内部	nèi bù	1	1289	n-l
整个	zhěng gè	1	1314	z-zh,en-eng,eng-ong,g-k
南京	nán jīng	1	1318	n-l,an-ang,an-ai,in-ing
印度	yìn dù	1	1384	in-ing
广州	guǎng zhōu	1	1386	g-k,uan-uang,z-zh
那时	nà shí	1	1391	n-l,s-sh
某些	mǒu xiē	1	1397	
党员	dǎng yuán	1	1400	an-ang,uan-uang
为主	wéi zhǔ	1	1406	z-zh
之外	zhī wài	1	1445	z-zh,an-ai
有着	yǒu zhe	1	1451	z-zh
西部	xī bù	1	1453	
一面	yī miàn	1	1456	ian-iang
广东	guǎng dōng	1	1475	g-k,uan-uang,eng-ong,on-ong,un-ong
依法	yī fǎ	1	1485	h-f
国外	guó wài	1	1488	g-k,an-ai
山东	shān dōng	1	1548	s-sh,an-ang,an-ai,eng-ong,on-ong,un-ong
多种	duō zhǒng	1	1584	z-zh,eng-ong,on-ong,un-ong
党委	dǎng wěi	1	1595	an-ang
东北	dōng běi	1	1606	eng-ong,on-ong,un-ong
亚洲	yà zhōu	1	1609	z-zh
河南	hé nán	1	1613	h-f,n-l,an-ang,an-ai
上述	shàng shù	1	1616	s-sh,an-ang
别的	bié de	1	1630	
用于	yòng yú	1	1640	eng-ong,on-ong,un-ong
全球	quán qiú	1	1667	uan-uang
法院	fǎ yuàn	1	1671	h-f,uan-uang
正文	zhèng wén	1	1733	z-zh,en-eng,eng-ong
长江	cháng jiāng	1	1744	c-ch,an-ang,ian-iang
多次	duō cì	1	1804	c-ch
中的	zhòng dì	1	1816	z-zh,eng-ong,on-ong,un-ong
一阵	yī zhèn	1	1819	z-zh,en-eng
深深	shēn shēn	1	1825	s-sh,en-eng
四川	sì chuān	1	1831	s-sh,c-ch,uan-uang
朝鲜	cháo xiǎn	1	1839	c-ch,ian-iang
非洲	fēi zhōu	1	1863	h-f,z-zh
加大	jiā dà	1	1864	
所在	suǒ zài	1	1866	s-sh,z-zh,an-ai
地上	dì shàng	1	1872	s-sh,an-ang
使得	shǐ de	1	1875	s-sh
回去	huí qù	1	1883	h-f
黄河	huáng hé	1	1885	h-f,uan-uang
更为	gèng wéi	1	1900	g-k,en-eng,eng-ong
推出	tuī chū	1	1912	c-ch
交给	jiāo gěi	1	1931	g-k
跟着	gēn zhe	1	1941	g-k,en-eng,z-zh
立法	lì fǎ	1	1959	n-l,r-l,h-f
人数	rén shù	1	1985	r-l,en-eng,s-sh
村民	cūn mín	1	1987	c-ch,un-ong,un-iong,in-ing
收到	shōu dào	1	1995	s-sh
基金	jī jīn	1	2022	in-ing
一会	yī huì	1	2024	h-f
院长	yuàn zhǎng	1	2050	uan-uang,z-zh,an-ang
远远	yuǎn yuǎn	1	2068	uan-uang
西藏	xī zàng	1	2070	z-zh,an-ang
浙江	zhè jiāng	1	2084	z-zh,ian-iang
男女	nán nǚ	1	2088	n-l,an-ang,an-ai
司法	sī fǎ	1	2091	s-sh,h-f
总体	zǒng tǐ	1	2093	z-zh,eng-ong,on-ong,un-ong
近日	jìn rì	1	2106	in-ing,r-l
学会	xué huì	1	2108	h-f
图片	tú piàn	1	2112	ian-iang
在内	zài nèi	1	2120	z-zh,an-ai,n-l
面向	miàn xiàng	1	2131	ian-iang
武汉	wǔ hàn	1	2132	h-f,an-ang,an-ai
大门	dà mén	1	2135	en-eng
种种	zhǒng zhǒng	1	2138	z-zh,eng-ong,on-ong,un-ong
十一	shí yī	1	2140	s-sh
女性	nǚ xìng	1	2141	n-l,in-ing
增速	zēng sù	1	2142	z-zh,en-eng,eng-ong,s-sh
他人	tā rén	1	2157	r-l,en-eng
人大	rén dà	1	2163	r-l,en-eng
新疆	xīn jiāng	1	2173	in-ing,ian-iang
公安	gōng ān	1	2198	g-k,eng-ong,on-ong,un-ong,an-ang,an-ai
现有	xiàn yǒu	1	2199	ian-iang
予以	yǔ yǐ	1	2207	
产量	chǎn liàng	1	2208	c-ch,an-ang,an-ai,n-l,r-l,ian-iang
由此	yóu cǐ	1	2235	c-ch
打破	dǎ pò	1	2239	
